country,year,value
,2010,18
Morocco,1962,2
,1969,6
,1978,6
Mozambique,1977,1
Mujahedin (Afghanistan)*,1992,1
Netherlands,1950,215
,1951,58
,1952,21
,1953,7
,1954,62
,1955,255
,1956,9
,1957,8
,1958,51
,1959,48
,1960,36
,1961,108
,1962,99
,1963,79
,1964,93
,1965,100
,1966,79
,1967,182
,1968,350
,1969,111
,1970,5
,1971,161
,1972,143
,1973,205
,1974,73
,1975,64
,1976,306
,1977,417
,1978,357
,1979,309
,1980,623
,1981,812
,1982,688
,1983,474
,1984,366
,1985,175
,1986,323
,1987,483
,1988,724
,1989,556
,1990,409
,1991,448
,1992,364
,1993,455
,1994,627
,1995,473
,1996,499
,1997,614
,1998,622
,1999,349
,2000,284
,2001,203
,2002,233
,2003,336
,2004,218
,2005,526
,2006,1155
,2007,1210
,2008,460
,2009,485
,2010,381
,2011,538
,2012,783
,2013,357
,2014,561
New Zealand,1967,1
,1968,1
,1969,0
,1972,0
,1973,2
,1974,5
,1975,3
,1981,1
,1982,2
,1984,10
,1985,7
,1986,0
,1991,34
